id,sentence,subject_entity,object_entity,label
0,"예를 들어, HTML은 특수 분야 언어이며, HTML의 영역은 웹페이지와 하이퍼텍스트이다.","{'word': '특수 분야 언어', 'start': 1303, 'end': 1310, 'type': 'COM'}","{'word': 'HTML', 'start': 1297, 'end': 1300, 'type': 'COM'}",com:sub_concept
1,"특수 분야 언어의 다른 예로 설정 파일, 스프레드시트, 그리고 심지어는 전자 메일(""보낸이:"", ""받는이:"" 헤더는 처리문을 통하여 본다.)까지도 들 수 있다.","{'word': '특수 분야 언어', 'start': 1341, 'end': 1348, 'type': 'COM'}","{'word': '설정 파일', 'start': 1357, 'end': 1361, 'type': 'COM'}",com:sub_concept
2,"특수 분야 언어의 다른 예로 설정 파일, 스프레드시트, 그리고 심지어는 전자 메일(""보낸이:"", ""받는이:"" 헤더는 처리문을 통하여 본다.)까지도 들 수 있다.","{'word': '특수 분야 언어', 'start': 1341, 'end': 1348, 'type': 'COM'}","{'word': '스프레드시트', 'start': 1364, 'end': 1369, 'type': 'COM'}",com:sub_concept
3,"특수 분야 언어의 다른 예로 설정 파일, 스프레드시트, 그리고 심지어는 전자 메일(""보낸이:"", ""받는이:"" 헤더는 처리문을 통하여 본다.)까지도 들 수 있다.","{'word': '특수 분야 언어', 'start': 1341, 'end': 1348, 'type': 'COM'}","{'word': '전자 메일', 'start': 1381, 'end': 1385, 'type': 'COM'}",com:sub_concept
4,"따라서 특수 분야 언어들은 보통 범용 언어에 ""내장""된다.","{'word': '범용 언어', 'start': 1491, 'end': 1495, 'type': 'COM'}","{'word': '특수 분야 언어', 'start': 1477, 'end': 1484, 'type': 'COM'}",com:sub_concept
5,"선언형 언어는 다른 언어와 같이 문법을 가지고 있고 언어의 단어들이 어떻게 결합되어야 하는지 설명하고 있으며, 어떻게 프로그램의 출력에 맞게 할 것인지를 언어의 문장으로 설명하는 의미구조가 있다.","{'word': '선언형 언어', 'start': 1092, 'end': 1097, 'type': 'COM'}","{'word': '문법', 'start': 1110, 'end': 1111, 'type': 'POH'}",com:sub_concept
6,"선언형 프로그래밍(宣言型 프로그래밍, )은 두 가지 뜻으로 통용되고 있다.","{'word': '선언형 프로그래밍', 'start': 0, 'end': 8, 'type': 'COM'}","{'word': '宣言型 프로그래밍', 'start': 10, 'end': 18, 'type': 'COM'}",com:alter_names
7,"예를 들어, 웹 페이지는 선언형인데 웹페이지는 제목, 글꼴, 본문, 그림과 같이 ""무엇""이 나타나야하는지를 묘사하는 것이지 ""어떤 방법으로"" 컴퓨터 화면에 페이지를 나타내야 하는지를 묘사하는 것이 아니기 때문이다.","{'word': '웹 페이지', 'start': 124, 'end': 128, 'type': 'COM'}","{'word': '웹페이지', 'start': 137, 'end': 140, 'type': 'COM'}",com:alter_names
8,"또 다른 정의에 따르면, 프로그램이 함수형 프로그래밍 언어, 논리형 프로그래밍 언어, 혹은 제한형 프로그래밍 언어로 쓰인 경우에 ""선언형""이라고 한다.","{'word': '프로그램', 'start': 432, 'end': 435, 'type': 'COM'}","{'word': '제한형 프로그래밍 언어', 'start': 469, 'end': 480, 'type': 'COM'}",com:made_of
9,"이렇게 하면 프로그래머가 특수 분야 언어가 힘을 발휘하는 분야에서 이것을 이용할 수 있고, 특수 분야 언어로 하기 어렵거나 불가능한 문제는 범용 언어를 이용할 수 있다.","{'word': '프로그래머', 'start': 1513, 'end': 1517, 'type': 'PER'}","{'word': '특수 분야 언어', 'start': 1557, 'end': 1564, 'type': 'COM'}",no_relation
10,"간단히 말하여, 명령형 프로그램은 알고리즘을 명시하고 목표는 명시하지 않는 데 반해 선언형 프로그램은 목표를 명시하고 알고리즘을 명시하지 않는 것이다.","{'word': '명령형 프로그램', 'start': 342, 'end': 349, 'type': 'COM'}","{'word': '목표', 'start': 390, 'end': 391, 'type': 'POH'}",no_relation
11,"특히, 제한형 프로그래밍과 논리형 프로그래밍은 필요한 해의 특성을 설명하고(무엇) 그 해를 찾는 데 사용하는 실제 알고리즘은 설명하지 않는다(어떤 방법). 그러나 대부분의 논리형과 제한형 언어들은 알고리즘을 설명할 수 있고, 상세한 부분을 구현할 수 있어서 첫 번째 정의를 따르는 엄밀한 의미의 선언형 프로그래밍 언어는 아니다.","{'word': '프로그래밍', 'start': 591, 'end': 595, 'type': 'COM'}","{'word': '특성', 'start': 616, 'end': 617, 'type': 'POH'}",no_relation
12,"여기서 ""선언형 언어""라는 것은 명령형 언어와 대비되는 이런 프로그래밍 언어들을 통칭하는 것이다.","{'word': '선언형 언어', 'start': 508, 'end': 513, 'type': 'COM'}","{'word': '명령형 언어', 'start': 521, 'end': 526, 'type': 'COM'}",no_relation
13,"특히, 제한형 프로그래밍과 논리형 프로그래밍은 필요한 해의 특성을 설명하고(무엇) 그 해를 찾는 데 사용하는 실제 알고리즘은 설명하지 않는다(어떤 방법). 그러나 대부분의 논리형과 제한형 언어들은 알고리즘을 설명할 수 있고, 상세한 부분을 구현할 수 있어서 첫 번째 정의를 따르는 엄밀한 의미의 선언형 프로그래밍 언어는 아니다.","{'word': '알고리즘', 'start': 693, 'end': 696, 'type': 'COM'}","{'word': '선언형 프로그래밍 언어', 'start': 748, 'end': 759, 'type': 'COM'}",no_relation
14,라이브러리나 프레임워크 내부의 비선언형 부분을 캡슐화하여 이렇게 할 수 있다.,"{'word': '라이브러리', 'start': 811, 'end': 815, 'type': 'COM'}","{'word': '캡슐화', 'start': 837, 'end': 839, 'type': 'COM'}",no_relation
15,"이런 형태의 예가 제이유닛 유닛 테스트 프레임워크에 반영되어 쓰이고 있는데, 이것은 정의만 되어 있으면 프레임워크로 등록하여 유닛을 테스트하는 것을 가능하게 한다.","{'word': '프레임워크', 'start': 913, 'end': 917, 'type': 'COM'}","{'word': '유닛', 'start': 925, 'end': 926, 'type': 'COM'}",no_relation
16,선언형 프로그램에서는 그 언어의 표준 알고리즘으로 처리되는 자료 구조를 작성하거나 선언한다.,"{'word': '선언형 프로그램', 'start': 947, 'end': 954, 'type': 'COM'}","{'word': '자료 구조', 'start': 980, 'end': 984, 'type': 'COM'}",no_relation
17,"예를 들어서 웹페이지를 작성한다고 하면, 페이지가 HTML에서 무엇을 보여주어야 하는지를 선언하고 브라우저의 절차적 알고리즘이 이것을 화면에 표시할 점들로 변환한다.","{'word': '웹페이지', 'start': 1006, 'end': 1009, 'type': 'COM'}","{'word': '절차적 알고리즘', 'start': 1060, 'end': 1067, 'type': 'COM'}",no_relation
18,"선언형 프로그래밍은 특수 분야 언어()의 형태로 자주 사용된다. 여기서 ""분야""이라는 것은 ""언어의 사용 분야""(즉, 그 언어가 표현하는 소재)을 의미한다.","{'word': '선언형 프로그래밍', 'start': 1202, 'end': 1210, 'type': 'COM'}","{'word': '분야', 'start': 1243, 'end': 1244, 'type': 'COM'}",no_relation
19,범용 언어에 내장되지 않는 특수 분야 언어는 같은 프로그램을 작성할 때 내장된 언어보다 더 사용하기 쉬운 경우가 많은데 범용 언어가 지우는 복잡한 개념이 잘 추가되지 않기 때문이다.,"{'word': '범용 언어', 'start': 1601, 'end': 1605, 'type': 'COM'}","{'word': '프로그램', 'start': 1629, 'end': 1632, 'type': 'COM'}",no_relation
20,"이것은 전통적인 포트란과 C, 자바와 같은 명령형 프로그래밍 언어와는 다른 접근방식인데, 명령형 프로그래밍 언어는 프로그래머가 실행될 알고리즘을 명시해주어야 하는 것이다.","{'word': '포트란', 'start': 246, 'end': 248, 'type': 'COM'}","{'word': 'C', 'start': 251, 'end': 251, 'type': 'COM'}",com:similar_tech
