id,sentence,subject_entity,object_entity,label,worker1,worker2
0,"1967년, ""CACM""에 데이크스트라의 ""GOTO문의 해로움""(Go to statement considered harmful)라는 서한이 실렸다.","{'word': '데이크스트라', 'start': 1747, 'end': 1752, 'type': 'PER'}","{'word': '서한', 'start': 1806, 'end': 1807, 'type': 'POH'}",per:production,per:production,per:production
1,데이크스트라의 초창기 가드 명령어 언어같은 어떤 언어에서는 구조를 완전히 둘러싸는 codice_8와 같은 구문으로 구조의 단일성을 강조한다.,"{'word': '데이크스트라', 'start': 476, 'end': 481, 'type': 'PER'}","{'word': '초창기 가드 명령어 언어', 'start': 484, 'end': 496, 'type': 'COM'}",per:production,per:production,per:production
2,"하향식 설계를 할 때, 설계자는 큰 규모의 프로그램을 더 작은 공정으로 나누어 구현하고, 각각 검사한 다음에 전체 프로그램으로 합친다.","{'word': '설계자', 'start': 897, 'end': 899, 'type': 'PER'}","{'word': '하향식 설계', 'start': 884, 'end': 889, 'type': 'COM'}",per:production,per:production,per:production
3,"1967년, ""CACM""에 데이크스트라의 ""GOTO문의 해로움""(Go to statement considered harmful)라는 서한이 실렸다.","{'word': '데이크스트라', 'start': 1747, 'end': 1752, 'type': 'PER'}","{'word': 'GOTO문의 해로움', 'start': 1756, 'end': 1765, 'type': 'COM'}",per:production,per:production,per:production
4,카누스는 좀 더 완화된 구조 제한을 제안했다.,"{'word': '카누스', 'start': 2386, 'end': 2388, 'type': 'PER'}","{'word': '좀 더 완화된 구조 제한', 'start': 2391, 'end': 2403, 'type': 'COM'}",per:production,per:production,per:production
5,"프랭크 루빈은 그 해에 """"GOTO문의 해로움""의 해로움""('Go to statement considered harmful' considered harmful)이라는 글을 썼다.","{'word': '프랭크 루빈', 'start': 2872, 'end': 2877, 'type': 'PER'}","{'word': '""GOTO문의 해로움""의 해로움', 'start': 2886, 'end': 2902, 'type': 'COM'}",per:production,per:production,per:production
6,프로시저가 2개의 종료점을 갖기 때문에 데이크스트라의 구조적 프로그래밍의 규칙에 어긋난다.,"{'word': '데이크스트라', 'start': 3930, 'end': 3935, 'type': 'PER'}","{'word': '구조적 프로그래밍의 규칙', 'start': 3938, 'end': 3950, 'type': 'COM'}",per:production,per:production,per:production
7,"데이크스트라가 쓴 ""GOTO문의 해로움""이라는 논문은 이후 ""...의 해로움""이라는 유행을 낳기도 하였다.","{'word': '데이크스트라', 'start': 4876, 'end': 4881, 'type': 'PER'}","{'word': 'GOTO문의 해로움', 'start': 4887, 'end': 4896, 'type': 'COM'}",per:production,per:production,per:production
8,구조적 프로그램 이론가들은 1970년대 IBM의 연구원 밀즈가 구조적 프로그래밍 이론에 대한 그의 해석을 뉴욕타임즈의 인덱싱 시스템 개발자들에게 적용한 일이 있은 후에 대부분이 합의를 봤다.,"{'word': '밀즈', 'start': 2629, 'end': 2630, 'type': 'PER'}","{'word': 'IBM의 연구원', 'start': 2620, 'end': 2627, 'type': 'POH'}",per:title,per:title,per:title
9,"각각의 상태 변화를 분리하여 하위프로그램을 만들고 변수를 이용하여 활동중인 상태를 나타내면 가능하긴 하다. 하지만, 카누스를 포함한 일부 프로그래머들은 상태의 변화를 새로운 상태로 직접 분기하는 것을 더 좋아한다.","{'word': '카누스', 'start': 4417, 'end': 4419, 'type': 'PER'}","{'word': '프로그래머', 'start': 4429, 'end': 4433, 'type': 'POH'}",per:title,per:title,per:title
10,"이 내용들은 1960년대 후반과 1970년대 초반에 개발되었는데 주로 데이크스트라, 플로이드, 호, 그리즈가 많은 공헌을 했다.","{'word': '데이크스트라', 'start': 1633, 'end': 1638, 'type': 'PER'}","{'word': '플로이드', 'start': 1641, 'end': 1644, 'type': 'PER'}",no_relation,no_relation,no_relation
11,"이 내용들은 1960년대 후반과 1970년대 초반에 개발되었는데 주로 데이크스트라, 플로이드, 호, 그리즈가 많은 공헌을 했다.","{'word': '데이크스트라', 'start': 1633, 'end': 1638, 'type': 'PER'}","{'word': '그리즈', 'start': 1650, 'end': 1652, 'type': 'PER'}",no_relation,no_relation,no_relation
