id,sentence,subject_entity,object_entity,label,worker1,worker2
0,사용자는 직접 이러한 소프트웨어를 제작하고도 이를 중요하게 여기지 않을 때가 많다.,"{'word': '사용자', 'start': 835, 'end': 837, 'type': 'PER'}","{'word': '소프트웨어', 'start': 847, 'end': 851, 'type': 'COM'}",per:production,per:production,no_relation
1,"발전소는 전기를 생산하지만, 전등과 같은 응용품을 이용하기 전에는 그 자체가 빛을 내는 등의 사용자가 바라는 기능을 수행하지는 않는다.","{'word': '발전소', 'start': 396, 'end': 398, 'type': 'ORG'}","{'word': '전기', 'start': 401, 'end': 402, 'type': 'POH'}",org:production,org:production,org:production
2,응용 소프트웨어() 또는 애플리케이션은 운영 체제에서 실행되는 모든 소프트웨어를 뜻한다.,"{'word': '소프트웨어', 'start': 38, 'end': 42, 'type': 'COM'}","{'word': '애플리케이션', 'start': 14, 'end': 19, 'type': 'COM'}",com:sub_concept,no_relation,no_relation
3,응용 소프트웨어() 또는 애플리케이션은 운영 체제에서 실행되는 모든 소프트웨어를 뜻한다.,"{'word': '소프트웨어', 'start': 38, 'end': 42, 'type': 'COM'}","{'word': '응용 소프트웨어', 'start': 0, 'end': 7, 'type': 'COM'}",com:sub_concept,no_relation,no_relation
4,"따라서, 워드프로세서, 스프레드시트, 웹브라우저들뿐만 아니라 컴파일러나 링커 등도 응용 소프트웨어에 속한다.","{'word': '응용 소프트웨어', 'start': 96, 'end': 103, 'type': 'COM'}","{'word': '링커', 'start': 90, 'end': 91, 'type': 'COM'}",com:sub_concept,com:sub_concept,com:sub_concept
5,"따라서, 워드프로세서, 스프레드시트, 웹브라우저들뿐만 아니라 컴파일러나 링커 등도 응용 소프트웨어에 속한다.","{'word': '응용 소프트웨어', 'start': 96, 'end': 103, 'type': 'COM'}","{'word': '컴파일러', 'start': 84, 'end': 87, 'type': 'COM'}",com:sub_concept,com:sub_concept,com:sub_concept
6,"따라서, 워드프로세서, 스프레드시트, 웹브라우저들뿐만 아니라 컴파일러나 링커 등도 응용 소프트웨어에 속한다.","{'word': '응용 소프트웨어', 'start': 96, 'end': 103, 'type': 'COM'}","{'word': '웹브라우저', 'start': 71, 'end': 75, 'type': 'COM'}",com:sub_concept,com:sub_concept,com:sub_concept
7,"따라서, 워드프로세서, 스프레드시트, 웹브라우저들뿐만 아니라 컴파일러나 링커 등도 응용 소프트웨어에 속한다.","{'word': '응용 소프트웨어', 'start': 96, 'end': 103, 'type': 'COM'}","{'word': '스프레드시트', 'start': 63, 'end': 68, 'type': 'COM'}",com:sub_concept,com:sub_concept,com:sub_concept
8,"따라서, 워드프로세서, 스프레드시트, 웹브라우저들뿐만 아니라 컴파일러나 링커 등도 응용 소프트웨어에 속한다.","{'word': '응용 소프트웨어', 'start': 96, 'end': 103, 'type': 'COM'}","{'word': '워드프로세서', 'start': 55, 'end': 60, 'type': 'COM'}",com:sub_concept,com:sub_concept,com:sub_concept
9,또는 좁은 의미에서는 OS 위에서 사용자가 직접 사용하게되는 소프트웨어들을 뜻한다.,"{'word': 'OS', 'start': 123, 'end': 124, 'type': 'COM'}","{'word': '소프트웨어', 'start': 145, 'end': 149, 'type': 'COM'}",com:sub_concept,no_relation,com:sub_concept
10,이런 경우 컴파일러나 링커등 시스템소프트웨어를 제외한 워드프로세서등의 소프트웨어들만을 주로 뜻한다.,"{'word': '시스템소프트웨어', 'start': 174, 'end': 181, 'type': 'COM'}","{'word': '링커', 'start': 170, 'end': 171, 'type': 'COM'}",com:sub_concept,com:sub_concept,com:sub_concept
