id,sentence,subject_entity,object_entity,label
0,프로그래밍 패러다임(programming paradigm)은 프로그래밍의 패러다임 형태이다. 소프트웨어 공학을 할 때의 패러다임 형태인 방법론과 비교된다.,"{'word': '소프트웨어 공학', 'start': 52, 'end': 59, 'type': 'COM'}","{'word': '프로그래밍 패러다임', 'start': 0, 'end': 9, 'type': 'COM'}",com:sub_concept
1,소프트웨어 공학을 할 때의 패러다임 형태인 방법론과 비교된다.,"{'word': '소프트웨어 공학', 'start': 52, 'end': 59, 'type': 'COM'}","{'word': '방법론', 'start': 76, 'end': 78, 'type': 'COM'}",com:sub_concept
2,"여러 가지 패러다임을 지원하는 언어들도 있는데, 커먼 리스프, 파이썬, 오즈, jdk 1.8 이상의 자바 등이 이런 언어들이다. (""몇년 전까지 자바는 명령형 프로그래밍, 객체지향 프로그래밍 패러다임을 따르기로 유명했다. 하지만 jdk 1.8 부터 함수형 프로그래밍 패러다임을 지원하기 위해 람다식, 생성자 레퍼런스, 메서드 레퍼런스를 도입했고 선언형 프로그래밍의 장려를 위해 Stream과 같은 표준 API 등도 추가했다.","{'word': '언어', 'start': 502, 'end': 503, 'type': 'COM'}","{'word': '오즈', 'start': 477, 'end': 478, 'type': 'COM'}",com:sub_concept
3,"여러 가지 패러다임을 지원하는 언어들도 있는데, 커먼 리스프, 파이썬, 오즈, jdk 1.8 이상의 자바 등이 이런 언어들이다. (""몇년 전까지 자바는 명령형 프로그래밍, 객체지향 프로그래밍 패러다임을 따르기로 유명했다. 하지만 jdk 1.8 부터 함수형 프로그래밍 패러다임을 지원하기 위해 람다식, 생성자 레퍼런스, 메서드 레퍼런스를 도입했고 선언형 프로그래밍의 장려를 위해 Stream과 같은 표준 API 등도 추가했다.","{'word': '언어', 'start': 502, 'end': 503, 'type': 'COM'}","{'word': '자바', 'start': 493, 'end': 494, 'type': 'COM'}",com:sub_concept
4,"여러 가지 패러다임을 지원하는 언어들도 있는데, 커먼 리스프, 파이썬, 오즈, jdk 1.8 이상의 자바 등이 이런 언어들이다. (""몇년 전까지 자바는 명령형 프로그래밍, 객체지향 프로그래밍 패러다임을 따르기로 유명했다. 하지만 jdk 1.8 부터 함수형 프로그래밍 패러다임을 지원하기 위해 람다식, 생성자 레퍼런스, 메서드 레퍼런스를 도입했고 선언형 프로그래밍의 장려를 위해 Stream과 같은 표준 API 등도 추가했다.","{'word': '언어', 'start': 502, 'end': 503, 'type': 'COM'}","{'word': '커먼 리스프', 'start': 464, 'end': 469, 'type': 'COM'}",com:sub_concept
5,"여러 가지 패러다임을 지원하는 언어들도 있는데, 커먼 리스프, 파이썬, 오즈, jdk 1.8 이상의 자바 등이 이런 언어들이다. (""몇년 전까지 자바는 명령형 프로그래밍, 객체지향 프로그래밍 패러다임을 따르기로 유명했다. 하지만 jdk 1.8 부터 함수형 프로그래밍 패러다임을 지원하기 위해 람다식, 생성자 레퍼런스, 메서드 레퍼런스를 도입했고 선언형 프로그래밍의 장려를 위해 Stream과 같은 표준 API 등도 추가했다.","{'word': '언어', 'start': 502, 'end': 503, 'type': 'COM'}","{'word': '파이썬', 'start': 472, 'end': 474, 'type': 'COM'}",com:sub_concept
6,"여러 가지 패러다임을 지원하는 언어들도 있는데, 커먼 리스프, 파이썬, 오즈, jdk 1.8 이상의 자바 등이 이런 언어들이다. (""몇년 전까지 자바는 명령형 프로그래밍, 객체지향 프로그래밍 패러다임을 따르기로 유명했다. 하지만 jdk 1.8 부터 함수형 프로그래밍 패러다임을 지원하기 위해 람다식, 생성자 레퍼런스, 메서드 레퍼런스를 도입했고 선언형 프로그래밍의 장려를 위해 Stream과 같은 표준 API 등도 추가했다.","{'word': '표준 API', 'start': 659, 'end': 664, 'type': 'COM'}","{'word': 'Stream', 'start': 648, 'end': 653, 'type': 'COM'}",com:sub_concept
7,"자바에서 람다식은 함수형 인터페이스를 구현하는 익명클래스의 인스턴스를 생성하며, 좀 더 간단한 표현을 위해 컴파일러의 타입 추론이 동원된다."" )","{'word': '자바', 'start': 736, 'end': 737, 'type': 'COM'}","{'word': '람다식', 'start': 741, 'end': 743, 'type': 'COM'}",com:sub_concept
8,"자바에서 람다식은 함수형 인터페이스를 구현하는 익명클래스의 인스턴스를 생성하며, 좀 더 간단한 표현을 위해 컴파일러의 타입 추론이 동원된다."" )","{'word': '익명클래스', 'start': 762, 'end': 766, 'type': 'COM'}","{'word': '인스턴스', 'start': 769, 'end': 772, 'type': 'COM'}",com:sub_concept
9,"자바에서 람다식은 함수형 인터페이스를 구현하는 익명클래스의 인스턴스를 생성하며, 좀 더 간단한 표현을 위해 컴파일러의 타입 추론이 동원된다."" )","{'word': '컴파일러', 'start': 796, 'end': 799, 'type': 'COM'}","{'word': '타입 추론', 'start': 802, 'end': 806, 'type': 'COM'}",com:sub_concept
