id,sentence,subject_entity,object_entity,label
0,"파스칼(Pascal)은 1969년에 스위스 ETH 취리히의 컴퓨터 과학자 니클라우스 비르트가 개발한 프로그래밍 언어로, 당대의 가장 인기있는 교육용 언어 중 하나였으며, 1980년대와 1990년대 초반에 걸쳐 널리 사용되었다.","{'word': '니클라우스 비르트', 'start': 41, 'end': 49, 'type': 'PER'}","{'word': '컴퓨터 과학자', 'start': 33, 'end': 39, 'type': 'POH'}",per:title
1,파스칼이라는 이름은 프랑스의 수학자이자 철학자 블레즈 파스칼의 이름을 딴 것이다.,"{'word': '블레즈 파스칼', 'start': 218, 'end': 224, 'type': 'PER'}","{'word': '수학자이자 철학자', 'start': 208, 'end': 216, 'type': 'POH'}",per:title
2,"파스칼(Pascal)은 1969년에 스위스 ETH 취리히의 컴퓨터 과학자 니클라우스 비르트가 개발한 프로그래밍 언어로, 당대의 가장 인기있는 교육용 언어 중 하나였으며, 1980년대와 1990년대 초반에 걸쳐 널리 사용되었다.","{'word': '파스칼(Pascal)', 'start': 0, 'end': 10, 'type': 'COM'}","{'word': '1969년', 'start': 13, 'end': 17, 'type': 'DAT'}",com:date_of_prod
3,"파스칼(Pascal)은 1969년에 스위스 ETH 취리히의 컴퓨터 과학자 니클라우스 비르트가 개발한 프로그래밍 언어로, 당대의 가장 인기있는 교육용 언어 중 하나였으며, 1980년대와 1990년대 초반에 걸쳐 널리 사용되었다.","{'word': '프로그래밍 언어', 'start': 56, 'end': 63, 'type': 'COM'}","{'word': '파스칼(Pascal)', 'start': 0, 'end': 10, 'type': 'COM'}",com:sub_concept
4,파스칼은 발표 당시에는 아주 기본적인 컴퓨터 언어의 요소만을 가지고 있었으므로 시스템을 직접 다루기에는 부족하였다.,"{'word': '파스칼', 'start': 127, 'end': 129, 'type': 'COM'}","{'word': '기본적인 컴퓨터 언어의 요소', 'start': 143, 'end': 157, 'type': 'COM'}",com:sub_concept
5,"과학연구를 목적으로 만들어진 고급언어인 알골 60의 영향을 받은 까닭에, 같은 시기에 마찬가지 영향을 받아 제작된 C와 여러가지 면에서 유사한 점을 갖는다.","{'word': '고급언어', 'start': 312, 'end': 315, 'type': 'COM'}","{'word': '알골 60', 'start': 318, 'end': 322, 'type': 'COM'}",com:sub_concept
6,"델파이 언어로 불리는 변종 오브젝트 파스칼은 델파이, 프리 파스칼 IDE, 라자루스 등에서 개발할 수 있다.","{'word': '변종 오브젝트 파스칼', 'start': 899, 'end': 909, 'type': 'COM'}","{'word': '델파이 언어', 'start': 887, 'end': 892, 'type': 'COM'}",com:alter_names
7,"볼랜드 파스칼이라 불리는 델파이 이전의 오브젝트 파스칼은 터보 파스칼, 프리 파스칼 IDE에서 개발할 수 있다.","{'word': '델파이 이전의 오브젝트 파스칼', 'start': 962, 'end': 977, 'type': 'COM'}","{'word': '볼랜드 파스칼', 'start': 948, 'end': 954, 'type': 'COM'}",com:alter_names
8,파스칼 구조는 절차와 함수로 짜여진다.,"{'word': '파스칼 구조', 'start': 2247, 'end': 2252, 'type': 'COM'}","{'word': '절차와 함수', 'start': 2255, 'end': 2260, 'type': 'COM'}",com:made_of
9,엠바카데로 사의 델파이와 카일릭스는 파스칼의 직계 후손이라 할 수 있는 오브젝트 파스칼을 사용한다.,"{'word': '오브젝트 파스칼', 'start': 807, 'end': 814, 'type': 'COM'}","{'word': '파스칼', 'start': 787, 'end': 789, 'type': 'COM'}",com:prior_tech
10,"많은 변종들이 존재하며, 객체 지향 프로그래밍을 위해 기능을 추가한 변종들도 다수 존재한다.","{'word': '객체 지향 프로그래밍', 'start': 729, 'end': 739, 'type': 'COM'}","{'word': '변종', 'start': 718, 'end': 719, 'type': 'POH'}",no_relation
11,집합은 현대 수학에 있어 기본적인 개념이며 수많은 알고리즘이 집합을 사용하여 정의된다.,"{'word': '알고리즘', 'start': 1406, 'end': 1409, 'type': 'COM'}","{'word': '집합', 'start': 1378, 'end': 1379, 'type': 'POH'}",no_relation
12,포인터를 사용한 구조적 프로그래밍과 데이터 구조화(data structuring)를 그 특징으로 한다.,"{'word': '구조적 프로그래밍', 'start': 247, 'end': 255, 'type': 'COM'}","{'word': '데이터 구조화(data structuring)', 'start': 258, 'end': 282, 'type': 'COM'}",no_relation
13,그러나 코드를 간결하게 하고 버그를 더 쉽게 잡아내기 위한 목적으로 몇가지 기능을 제한함으로써 결과적으로 C 언어에 비해 활용도가 떨어지는 언어가 되었다.,"{'word': '코드', 'start': 388, 'end': 389, 'type': 'COM'}","{'word': '버그', 'start': 400, 'end': 401, 'type': 'COM'}",no_relation
14,"그러나 완전히 비실용적인 언어라는 뜻은 아니며, 실제로 TeX나 초기 매킨토시 운영 체제 제작에 사용되기도 하였다.","{'word': 'TeX', 'start': 502, 'end': 504, 'type': 'COM'}","{'word': '매킨토시 운영 체제', 'start': 510, 'end': 519, 'type': 'COM'}",no_relation
15,최근에는 파스칼 컴파일러 자체가 크게 개선되고 소프트웨어 개발 기술의 발전으로 이런 사소한 차이점은 거의 무시할 수 있는 단점이 되었다.,"{'word': '파스칼 컴파일러', 'start': 541, 'end': 548, 'type': 'COM'}","{'word': '소프트웨어 개발 기술', 'start': 562, 'end': 572, 'type': 'COM'}",no_relation
16,"다른 프로그래밍 언어와 달리, 파스칼은 집합 유형을 지원한다:","{'word': '프로그래밍 언어', 'start': 1276, 'end': 1283, 'type': 'COM'}","{'word': '파스칼', 'start': 1290, 'end': 1292, 'type': 'COM'}",no_relation
17,그러므로 이러한 알고리즘을 추가하는 것은 파스칼에 매우 알맞다고 볼 수 있다.,"{'word': '알고리즘', 'start': 1436, 'end': 1439, 'type': 'COM'}","{'word': '파스칼', 'start': 1450, 'end': 1452, 'type': 'COM'}",no_relation
18,파스칼은 포인터 사용을 지원한다:,"{'word': '파스칼', 'start': 1636, 'end': 1638, 'type': 'COM'}","{'word': '포인터', 'start': 1641, 'end': 1643, 'type': 'COM'}",no_relation
19,가변 codice_1가 자료형 codice_2 레코드의 포인터이다.,"{'word': '자료형', 'start': 1685, 'end': 1687, 'type': 'COM'}","{'word': '포인터', 'start': 1703, 'end': 1705, 'type': 'COM'}",no_relation
20,"새로운 레코드를 만들어 값codice_3과 codice_4를 레코드 안의 필드 codice_5로 할당하려면, 다음과 같은 명령어를 사용하면 된다:","{'word': '레코드', 'start': 1736, 'end': 1738, 'type': 'COM'}","{'word': '명령어', 'start': 1800, 'end': 1802, 'type': 'COM'}",no_relation
